so_no,destination,gudang
SO-2601-001,SURABAYA,SBY
SO-2601-002,SURABAYA,SBY
SO-2601-003,SURABAYA,SBY
SO-2601-004,JAKARTA,KRW
SO-2601-005,SEMARANG,SMG
SO-2601-006,SURABAYA,SBY
SO-2601-007,SURABAYA,SBY
SO-2601-008,SEMARANG,SMG
SO-2601-009,SURABAYA,SBY
SO-2601-010,SURABAYA,SBY
SO-2601-011,SEMARANG,SMG
SO-2601-012,JAKARTA,KRW
SO-2601-013,SEMARANG,SMG
SO-2601-014,SURABAYA,SBY
SO-2601-015,SEMARANG,SMG
SO-2601-016,SURABAYA,SBY
SO-2601-017,SURABAYA,SBY
SO-2601-018,SEMARANG,SMG
SO-2601-019,SURABAYA,SBY
SO-2601-020,SURABAYA,SBY
SO-2601-021,SEMARANG,SMG
SO-2601-022,JAKARTA,KRW
SO-2601-023,SEMARANG,SMG
SO-2601-024,SEMARANG,SMG
SO-2601-025,JAKARTA,KRW
SO-2601-026,SEMARANG,SMG
SO-2601-027,JAKARTA,KRW
SO-2601-028,JAKARTA,KRW
SO-2601-029,SURABAYA,SBY
SO-2601-030,SURABAYA,SBY
SO-2601-031,SEMARANG,SMG
SO-2601-032,SURABAYA,SBY
SO-2601-033,JAKARTA,KRW
SO-2601-034,SURABAYA,SBY
SO-2601-035,SURABAYA,SBY
SO-2601-036,SURABAYA,SBY
SO-2601-037,SEMARANG,SMG
SO-2602-001,SURABAYA,SBY
SO-2602-002,SEMARANG,SMG
SO-2602-003,SURABAYA,SBY
SO-2602-004,SURABAYA,SBY
SO-2602-005,SURABAYA,SBY
SO-2602-006,SEMARANG,SMG
SO-2602-007,SURABAYA,SBY
SO-2602-008,SEMARANG,SMG
SO-2602-009,SURABAYA,SBY
SO-2602-010,SURABAYA,SBY
SO-2602-011,SEMARANG,SMG
SO-2602-012,SURABAYA,SBY
SO-2602-013,JAKARTA,KRW
SO-2602-014,JAKARTA,KRW
SO-2602-015,SEMARANG,SMG
SO-2602-016,SURABAYA,SBY
SO-2602-017,SURABAYA,SBY
SO-2602-018,JAKARTA,KRW
SO-2602-019,JAKARTA,KRW
SO-2602-020,SURABAYA,SBY
SO-2602-021,JAKARTA,KRW
SO-2602-022,SURABAYA,SBY
SO-2602-023,SURABAYA,SBY
SO-2602-024,SURABAYA,SBY
SO-2602-025,SURABAYA,SBY
SO-2602-026,SEMARANG,SMG
SO-2602-027,SURABAYA,SBY
SO-2602-028,SEMARANG,SMG
SO-2602-029,SURABAYA,SBY
SO-2602-030,SEMARANG,SMG
SO-2602-031,SURABAYA,SBY
SO-2602-032,SURABAYA,SBY
SO-2602-033,JAKARTA,KRW
SO-2602-034,JAKARTA,KRW
SO-2602-035,JAKARTA,KRW
SO-2602-036,SURABAYA,SBY
SO-2602-037,SEMARANG,SMG
SO-2603-001,SURABAYA,SBY
SO-2603-002,SEMARANG,SMG
SO-2603-003,SURABAYA,SBY
SO-2603-004,SURABAYA,SBY
SO-2603-005,SEMARANG,SMG
SO-2603-006,SEMARANG,SMG
SO-2603-007,SURABAYA,SBY
SO-2603-008,SURABAYA,SBY
SO-2603-009,SEMARANG,SMG
SO-2603-010,JAKARTA,KRW
SO-2603-011,SURABAYA,SBY
SO-2603-012,SEMARANG,SMG
SO-2603-013,SURABAYA,SBY
SO-2603-014,SURABAYA,SBY
SO-2603-015,JAKARTA,KRW
SO-2603-016,SURABAYA,SBY
SO-2603-017,SURABAYA,SBY
SO-2603-018,SURABAYA,SBY
SO-2603-019,SURABAYA,SBY
SO-2603-020,SEMARANG,SMG
SO-2603-021,SURABAYA,SBY
SO-2603-022,SURABAYA,SBY
SO-2604-001,JAKARTA,KRW
SO-2604-002,SURABAYA,SBY
SO-2604-003,SURABAYA,SBY
SO-2604-004,SEMARANG,SMG
SO-2604-005,SURABAYA,SBY
SO-2604-006,SURABAYA,SBY
SO-2604-007,SURABAYA,SBY
SO-2604-008,SURABAYA,SBY
SO-2604-009,SURABAYA,SBY
SO-2604-010,SEMARANG,SMG
SO-2604-011,SURABAYA,SBY
SO-2604-012,JAKARTA,KRW
SO-2604-013,JAKARTA,KRW
SO-2604-014,SEMARANG,SMG
SO-2604-015,SURABAYA,SBY
SO-2604-016,JAKARTA,KRW
SO-2604-017,JAKARTA,KRW
SO-2604-018,SURABAYA,SBY
SO-2604-019,SEMARANG,SMG
SO-2604-020,SEMARANG,SMG
SO-2604-021,JAKARTA,KRW
