kode,nama,kategori,ukuran,pola,grade,harga_beli,harga_agen,harga_user,stok_min,satuan
G1100020AJ101,GIS 10.00-20 AJ101,Ban Jadi,10.00-20,AJ101,-,1803750,1840380,1914750,0,pcs
G1100020AJ105,GIS 10.00-20 AJ105,Ban Jadi,10.00-20,AJ105,-,1803750,1840380,1914750,0,pcs
G1100020AJ301,GIS 10.00-20 AJ301,Ban Jadi,10.00-20,AJ301,-,1803750,1840380,1914750,0,pcs
G11000R20AJ101,GIS 10.00R20 AJ101,Ban Jadi,10.00R20,AJ101,-,1848150,1885890,1959150,0,pcs
G11000R20AJ104,GIS 10.00R20 AJ104,Ban Jadi,10.00R20,AJ104,-,1859250,1896990,1970250,0,pcs
G1110020AJ101,GIS 11.00-20 AJ101,Ban Jadi,11.00-20,AJ101,-,1842600,1880340,1953600,0,pcs
G1110020LL220,GIS 11.00-20 LL220,Ban Jadi,,,,1760000,1760000,,0,pcs
G11100R20AJ101,GIS 11.00R20 AJ101,Ban Jadi,11.00R20,AJ101,-,1837050,1885890,1959150,0,pcs
G11100R20AJ104,GIS 11.00R20 AJ104,Ban Jadi,11.00R20,AJ104,-,1859250,1896990,1970250,0,pcs
G111R225AJ101,GIS 11R22.5 AJ101,Ban Jadi,11R22.5,AJ101,-,1848150,1885890,1959150,0,pcs
G111R225AJ104,GIS 11R22.5 AJ104,Ban Jadi,11R22.5,AJ104,-,1859250,1896990,1970250,0,pcs
G175016AJ101,GIS 7.50-16 AJ101,Ban Jadi,7.50-16,AJ101,-,1065600,1087800,1121100,0,pcs
G1750R16AJ101,GIS 7.50R16 AJ101,Ban Jadi,7.50R16,AJ101,-,1093350,1087800,,0,pcs
G182516AJ101,GIS 8.25-16 AJ101,Ban Jadi,,,,1050000,1050000,,0,pcs
G190020AJ101,GIS 9.00-20 AJ101,Ban Jadi,9.00-20,AJ101,-,1478520,1508490,1534020,0,pcs
VG100020AJ101,VULGIS 10.00-20 AJ101,Ban Jasa,10.00-20,AJ101,-,971250,991230,1032300,0,pcs
VG100020AJ301,VULGIS 10.00-20 AJ301,Ban Jasa,10.00-20,AJ301,-,971250,991230,1032300,0,pcs
VG1000R20AJ101,VULGIS 10.00R20 AJ101,Ban Jasa,10.00R20,AJ101,-,1071150,1093350,1104450,0,pcs
VG1000R20AJ104,VULGIS 10.00R20 AJ104,Ban Jasa,10.00R20,AJ104,-,1082250,1104450,1104450,0,pcs
VG1100020AJ105,VULGIS 10.00-20 AJ105,Ban Jasa,10.00-20,AJ105,-,971250,991230,1032300,0,pcs
VG110020AJ101,VULGIS 11.00-20 AJ101,Ban Jasa,11.00-20,AJ101,-,1010100,1031190,1121100,0,pcs
VG110020AJ104,VULGIS 11.00-20 AJ104,Ban Jasa,,,,750000,750000,,0,pcs
VG1100R20AJ101,VULGIS 11.00R20 AJ101,Ban Jasa,11.00R20,AJ101,-,1071150,1093350,1154400,0,pcs
VG1100R20AJ104,VULGIS 11.00R20 AJ104,Ban Jasa,11.00R20,AJ104,-,1082250,1104450,1154400,0,pcs
VG111R225AJ101,VULGIS 11R22.5 AJ101,Ban Jasa,11R22.5,AJ101,-,1071150,1093350,1143300,0,pcs
VG111R225AJ104,VULGIS 11R22.5 AJ104,Ban Jasa,11R22.5,AJ104,-,1082250,1104450,1143300,0,pcs
VG129580R225AJ104,VULGIS 295/80R22.5 AJ104,Ban Jasa,295/80R22.5,AJ104,-,1332000,1360000,,0,pcs
VG175016AJ101,VULGIS 7.50-16 AJ101,Ban Jasa,7.50-16,AJ101,-,677100,690420,721500,0,pcs
VG1750R16AJ101,VULGIS 7.50R16 AJ101,Ban Jasa,7.50R16,AJ101,-,721500,690420,,0,pcs
VG190020AJ101,VULGIS 9.00-20 AJ101,Ban Jasa,9.00-20,AJ101,-,923520,942390,965700,0,pcs
VG31580R225AJ104,VULGIS 315/80R22.5 AJ104,Ban Jasa,,,,1169615,1169615,,0,pcs
