kode,gudang,qty,tgl
G1100020AJ101,UTM,-948,2026-07-23
G1100020AJ105,UTM,0,2026-07-23
G1100020AJ301,UTM,-16,2026-07-23
G11000R20AJ101,UTM,-16,2026-07-23
G11000R20AJ104,UTM,-39,2026-07-23
G1110020AJ101,UTM,-360,2026-07-23
G1110020LL220,UTM,-20,2026-07-23
G11100R20AJ101,UTM,-15,2026-07-23
G11100R20AJ104,UTM,-9,2026-07-23
G111R225AJ101,UTM,-4,2026-07-23
G111R225AJ104,UTM,-10,2026-07-23
G175016AJ101,UTM,-16,2026-07-23
G1750R16AJ101,UTM,0,2026-07-23
G182516AJ101,UTM,-2,2026-07-23
G190020AJ101,UTM,0,2026-07-23
VG100020AJ101,UTM,-121,2026-07-23
VG100020AJ301,UTM,-2,2026-07-23
VG1000R20AJ101,UTM,-29,2026-07-23
VG1000R20AJ104,UTM,-12,2026-07-23
VG1100020AJ105,UTM,0,2026-07-23
VG110020AJ101,UTM,-295,2026-07-23
VG110020AJ104,UTM,-88,2026-07-23
VG1100R20AJ101,UTM,-4,2026-07-23
VG1100R20AJ104,UTM,-19,2026-07-23
VG111R225AJ101,UTM,-8,2026-07-23
VG111R225AJ104,UTM,-4,2026-07-23
VG129580R225AJ104,UTM,0,2026-07-23
VG175016AJ101,UTM,-19,2026-07-23
VG1750R16AJ101,UTM,-4,2026-07-23
VG190020AJ101,UTM,-1,2026-07-23
VG31580R225AJ104,UTM,-26,2026-07-23
